x,y,color_group
-0.6580000000,-0.4800000000,0.0000000000
-0.6329308000,-0.4426297600,0.0000000000
-0.5607872000,-0.3350865100,0.0000000000
-0.4886436000,-0.2275432500,0.0000000000
-0.4165000000,-0.1200000000,0.0000000000
-0.3443564000,-0.0124567500,0.0000000000
-0.2722128000,0.0950865100,0.0000000000
-0.2000692000,0.2026297600,0.0000000000
-0.1750000000,0.2400000000,0.0000000000
-0.3360000000,0.4800000000,0.0000000000
-0.2910000000,0.4800000000,0.0000000000
-0.1750000000,0.4800000000,0.0000000000
-0.0590000000,0.4800000000,0.0000000000
-0.0140000000,0.4800000000,0.0000000000
-0.9800000000,-0.4800000000,0.0000000000
-0.9549308000,-0.4426297600,0.0000000000
-0.8827872000,-0.3350865100,0.0000000000
-0.8106436000,-0.2275432500,0.0000000000
-0.7385000000,-0.1200000000,0.0000000000
-0.6663564000,-0.0124567500,0.0000000000
-0.5942128000,0.0950865100,0.0000000000
-0.5220692000,0.2026297600,0.0000000000
-0.4970000000,0.2400000000,0.0000000000
-0.9350000000,-0.4800000000,0.0000000000
-0.8190000000,-0.4800000000,0.0000000000
-0.7030000000,-0.4800000000,0.0000000000
-0.4970000000,-0.7200000000,0.0000000000
-0.4728500000,-0.6840000000,0.0000000000
-0.4487000000,-0.6480000000,0.0000000000
-0.4245500000,-0.6120000000,0.0000000000
-0.4004000000,-0.5760000000,0.0000000000
-0.3762500000,-0.5400000000,1.0000000000
-0.6329308000,-0.5173702400,0.0000000000
-0.5775000000,-0.6000000000,0.0000000000
-0.5220692000,-0.6826297600,0.0000000000
-0.8190000000,-0.7200000000,0.0000000000
-0.7740000000,-0.7200000000,0.0000000000
-0.6580000000,-0.7200000000,0.0000000000
-0.5420000000,-0.7200000000,0.0000000000
-0.9549308000,-0.5173702400,0.0000000000
-0.8995000000,-0.6000000000,0.0000000000
-0.8440692000,-0.6826297600,0.0000000000
-0.4520000000,0.2400000000,0.0000000000
-0.3360000000,0.2400000000,0.0000000000
-0.2200000000,0.2400000000,0.0000000000
-0.1300000000,0.2400000000,0.0000000000
-0.0542500000,0.2400000000,0.0000000000
0.0215000000,0.2400000000,0.0000000000
0.0665000000,0.2400000000,1.0000000000
0.3080000000,0.2400000000,1.0000000000
0.3482500000,0.2400000000,0.0000000000
0.3885000000,0.2400000000,0.0000000000
0.4287500000,0.2400000000,0.0000000000
0.4690000000,0.2400000000,1.0000000000
0.3885000000,0.3600000000,1.0000000000
0.4086250000,0.3300000000,1.0000000000
0.4287500000,0.3000000000,1.0000000000
0.4488750000,0.2700000000,1.0000000000
0.2275000000,0.4800000000,1.0000000000
0.2677500000,0.4800000000,1.0000000000
0.3080000000,0.4800000000,2.0000000000
0.0310000000,0.4800000000,0.0000000000
0.1067500000,0.4800000000,0.0000000000
0.1825000000,0.4800000000,0.0000000000
-0.6580000000,0.4800000000,0.0000000000
-0.6130000000,0.4800000000,0.0000000000
-0.4970000000,0.4800000000,0.0000000000
-0.3810000000,0.4800000000,0.0000000000
-0.6329308000,0.4426297600,0.0000000000
-0.5775000000,0.3600000000,0.0000000000
